seq,#,Group,Group Label,Block,Block Label,Stage,Stage Label,Source,Status,Phase,Note,Description,Loop →,Bid Value,Bid: excavation,Work: excavation,Fallback: excavation,Bid: Last Minute: excavation,Bid: shoring,Work: shoring,Fallback: shoring,Bid: Last Minute: shoring,Bid: demolition,Work: demolition,Fallback: demolition,Bid: Last Minute: demolition,Bid: temporary-fencing,Work: temporary-fencing,Fallback: temporary-fencing,Bid: Last Minute: temporary-fencing,Bid: concrete,Work: concrete,Fallback: concrete,Bid: Last Minute: concrete,Bid: waterproofing,Work: waterproofing,Fallback: waterproofing,Bid: Last Minute: waterproofing,Bid: framing,Work: framing,Fallback: framing,Bid: Last Minute: framing,Bid: structural-steel,Work: structural-steel,Fallback: structural-steel,Bid: Last Minute: structural-steel,Bid: masonry,Work: masonry,Fallback: masonry,Bid: Last Minute: masonry,Bid: elevator,Work: elevator,Fallback: elevator,Bid: Last Minute: elevator,Bid: plumbing,Work: plumbing,Fallback: plumbing,Bid: Last Minute: plumbing,Bid: hvac,Work: hvac,Fallback: hvac,Bid: Last Minute: hvac,Bid: electrical,Work: electrical,Fallback: electrical,Bid: Last Minute: electrical,Bid: drain-plumbing,Work: drain-plumbing,Fallback: drain-plumbing,Bid: Last Minute: drain-plumbing,Bid: fire-protection,Work: fire-protection,Fallback: fire-protection,Bid: Last Minute: fire-protection,Bid: roofing,Work: roofing,Fallback: roofing,Bid: Last Minute: roofing,Bid: insulation,Work: insulation,Fallback: insulation,Bid: Last Minute: insulation,Bid: glazing,Work: glazing,Fallback: glazing,Bid: Last Minute: glazing,Bid: windows,Work: windows,Fallback: windows,Bid: Last Minute: windows,Bid: drywall,Work: drywall,Fallback: drywall,Bid: Last Minute: drywall,Bid: painting,Work: painting,Fallback: painting,Bid: Last Minute: painting,Bid: flooring,Work: flooring,Fallback: flooring,Bid: Last Minute: flooring,Bid: tiling,Work: tiling,Fallback: tiling,Bid: Last Minute: tiling,Bid: trim-work,Work: trim-work,Fallback: trim-work,Bid: Last Minute: trim-work,Bid: millwork-cabinetry,Work: millwork-cabinetry,Fallback: millwork-cabinetry,Bid: Last Minute: millwork-cabinetry,Bid: stone-countertops,Work: stone-countertops,Fallback: stone-countertops,Bid: Last Minute: stone-countertops,Bid: security,Work: security,Fallback: security,Bid: Last Minute: security,Bid: eavestrough-siding,Work: eavestrough-siding,Fallback: eavestrough-siding,Bid: Last Minute: eavestrough-siding,Bid: caulking,Work: caulking,Fallback: caulking,Bid: Last Minute: caulking,Bid: solar,Work: solar,Fallback: solar,Bid: Last Minute: solar,Bid: landscaping,Work: landscaping,Fallback: landscaping,Bid: Last Minute: landscaping,Bid: paving,Work: paving,Fallback: paving,Bid: Last Minute: paving,Bid: decking-fences,Work: decking-fences,Fallback: decking-fences,Bid: Last Minute: decking-fences,Bid: decks,Work: decks,Fallback: decks,Bid: Last Minute: decks,Bid: back-yard-fences,Work: back-yard-fences,Fallback: back-yard-fences,Bid: Last Minute: back-yard-fences,Bid: outdoor-patio,Work: outdoor-patio,Fallback: outdoor-patio,Bid: Last Minute: outdoor-patio,Bid: pool-installation,Work: pool-installation,Fallback: pool-installation,Bid: Last Minute: pool-installation,Bid: realtor,Work: realtor,Fallback: realtor,Bid: Last Minute: realtor,Group Color,Group Icon,Block Color,Block Icon,Stage Color,Stage Icon,Rows
33,11,BP2,Plan Review,B6.C,Review Complete,b,Consultation Completed,permits.status,Consultation Completed,P4,`REVIEW_P4_SET`,Pre-application consultation closed (Tier 1c stream),—,0.9,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#E0E7FF,🔍,#E0E7FF,🔍,#E0E7FF,🔍,2
34,12,BP3,Notice & Response,B7.A,Notice Issued,a,Examiner's Notice Sent,permits.status,Examiner's Notice Sent,P4,`REVIEW_P4_SET`,"City def: ""Application accepted, Review resulted in a Notice that has been sent""",↩ via #17 → #8 (re-queue),0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF3C7,⚠️,"2,757"
35,13,BP3,Notice & Response,B7.A,Notice Issued,b,Notice Sent,permits.status,Notice Sent,UNMAPPED→null,Not in any code set; falls through,Operationally synonymous with #12 (Examiner's Notice Sent) but counted by `unclassified_count` CQA gate,↩ via #17 → #8 (re-queue),0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF3C7,⚠️,1
36,14,BP3,Notice & Response,B7.B,Deficiency Confirmed,a,Deficiency Notice,permits.status,Deficiency Notice Issued,P5,`HOLD_P5_SET`,Formal deficiency notice — escalation when Examiner's Notice unaddressed,↩ via #17 → #8 (re-queue),0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF3C7,⚠️,117
37,15,BP3,Notice & Response,B7.C,Application Paused,a,On Hold,permits.status,Application On Hold,P5,`HOLD_P5_SET`,"City def: ""Application received but on hold because of missing information""",↩ #17 (when applicant responds) or → #51 Cancelled (if abandoned),0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF9C3,⏸️,"1,655"
38,16,BP3,Notice & Response,B7.C,Application Paused,b,On Hold (variant),permits.status,Application on Hold,P5,`HOLD_P5_SET`,Case variant of #15 (both members of set),↩ #17 (when applicant responds) or → #51 Cancelled,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF9C3,⏸️,4
39,17,BP3,Notice & Response,B7.D,Response Received,a,Response Received,permits.status,Response Received,P5,`HOLD_P5_SET`,"City def: ""Response to a Notice submitted to Toronto Building""",↩ #8 Under Review (re-queue),0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF3C7,⚠️,436
40,18,BP3,Notice & Response,B7.E,Cross-Folder Block,a,Parent Folder Pending,permits.status,Pending Parent Folder Review,P5,`HOLD_P5_SET`,Sub-permit (HVA/PLB/etc.) blocked waiting on parent BLD/CMB,↩ #8 (when parent advances),0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF3C7,⚠️,33
41,19,BP4,Pre-Issuance,B8.A,Permit Approved,a,Approved,permits.status,Approved,P6,"`READY_P6_SET` (distinct from CoA ""Approved"")",Internal technical-approval marker — transitional before Ready for Issuance,—,0.8,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑,23
42,20,BP4,Pre-Issuance,B8.B,Ready for Issuance,a,Ready for Issuance,permits.status,Ready for Issuance,P6,`READY_P6_SET`,"City def: ""Review completed, Permit ready for issuance at any time"" (87% pre-/13% post-issuance)",—,0.8,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑,233
43,21,BP4,Pre-Issuance,B8.C,Outstanding Conditions,a,Forwarded for Issuance,permits.status,Forwarded for Issuance,P6,`READY_P6_SET`,Queued to issuance desk for fee collection / final paperwork,—,0.7,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑,3
44,22,BP4,Pre-Issuance,B8.C,Outstanding Conditions,b,Issuance Pending,permits.status,Issuance Pending,P6,`READY_P6_SET`,"City def: ""Review completed, however other approvals/fees outstanding"" — dominant pre-issuance state",—,0.7,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑,"2,974"
45,23,BP4,Pre-Issuance,B8.C,Outstanding Conditions,c,Agreement in Progress,permits.status,Agreement in Progress,P6,`READY_P6_SET`,Section 37 / Site Plan / Development Agreement being executed,—,0.7,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑,10
46,24,BP4,Pre-Issuance,B8.D,Cross-Domain Issuance,a,Licence Issued,permits.status,Licence Issued,P6,`READY_P6_SET` (cross-feed noise),Sign/hoarding license sharing IBMS feed — not a building-permit phase,—,0.7,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑,4
47,25,BP5,Construction,B9.A,Newly Issued,a,Permit Issued,permits.status,Permit Issued,P7a/P7b/P7c (or P9-P17),Time-bucketed,"City def: ""The Permit has been issued""; time-bucketed by `NOW() - issued_date`",→ #31 Inspection (when inspections begin),0.6,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️,"52,403"
48,26,BP5,Construction,B9.B,No Construction Yet,a,Work Not Started,permits.status,Work Not Started,P7d,`NOT_STARTED_P7D_SET` (100% post-issuance),"City def: ""An Inspection was conducted and construction has not taken place"" — distinct from #6",—,0.6,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️,"1,093"
49,27,BP5,Construction,B9.B,No Construction Yet,b,Extension Granted,permits.status,Extension Granted,P7d,`NOT_STARTED_P7D_SET` (100% post-issuance),Permit expiry extended; clock reset,—,0.6,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️,3
50,31,BP5,Construction,B9.C,Active Inspection (status),a,Inspection,permits.status,Inspection,P9-P17 (via stages 100-134) or P18,"City def: ""Permit issued and under active inspection""",Phase mapped by latest passed inspection stage,→ stages #100-134,,,,✓,✓,,,✓,,,,✓,,,,✓,✓,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,✓,,✓,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️,"138,546"
51,32,BP5,Construction,B9.C,Active Inspection (status),b,Forward to Inspector,permits.status,Forward to Inspector,P18,"`INSPECTION_PIPELINE_P18_SET` — §3 calls P18 ""Project Closed"" (drift)",File handed off to inspector; awaiting visit,→ #31 Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️,1
52,33,BP5,Construction,B9.C,Active Inspection (status),c,Rescheduled,permits.status,Rescheduled,P18,`INSPECTION_PIPELINE_P18_SET`,Scheduled inspection rescheduled,→ #31 Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️,1
53,100,I1,Site Prep & Foundations,B10.A,Site Prep,a,Site Grading,insp.stage,Site Grading Inspection,P9,matches `site grading`,First site-prep inspection (grading work),↩ same stage if `status='Not Passed'` (re-inspection),,,✓,,,,,,✓,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🪨,#FEF3C7,🪨,#FEF3C7,🪨,"4,921"
54,101,I1,Site Prep & Foundations,B10.A,Site Prep,b,Excavation/Shoring,insp.stage,Excavation/Shoring,P9,matches `excavation`,Excavation and shoring inspection,↩ same stage if Not Passed,,,✓,,,,✓,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🪨,#FEF3C7,🪨,#FEF3C7,🪨,"6,735"
55,102,I1,Site Prep & Foundations,B10.A,Site Prep,c,Demolition,insp.stage,Demolition,P9,matches `demolition`,Demolition inspection,↩ same stage if Not Passed,,,,,,,,,,,✓,,,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🪨,#FEF3C7,🪨,#FEF3C7,🪨,"1,012"
56,103,I1,Site Prep & Foundations,B10.B,Foundations,a,Footings/Foundations,insp.stage,Footings/Foundations,P10,matches `footings`,Footings and foundations inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🪨,#FEF3C7,🪨,#FEF3C7,🪨,"7,600"
57,104,I1,Site Prep & Foundations,B10.B,Foundations,b,Foundation,insp.stage,Foundation,P10,matches `=== 'foundation'` (exact equality),Foundation inspection (low-count variant),↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,✓,,,,✓,,,,,,✓,,,,✓,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🪨,#FEF3C7,🪨,#FEF3C7,🪨,2
58,105,I2,Structural & MEP,B11.A,Framing,a,Structural Framing,insp.stage,Structural Framing,P11,matches `structural framing`,"Structural framing inspection — house is now a ""box""",↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,✓,,,,✓,,,,✓,,,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#E0F2FE,🔧,#E0F2FE,🔧,#E0F2FE,🔧,"9,592"
59,106,I2,Structural & MEP,B11.B,MEP Rough-in,a,HVAC Rough-in,insp.stage,HVAC/Extraction Rough-in,P12,matches `hvac`,HVAC rough-in inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#E0F2FE,🔧,#E0F2FE,🔧,#E0F2FE,🔧,883
60,107,I2,Structural & MEP,B11.B,MEP Rough-in,b,Water Service,insp.stage,Water Service,P12,matches `water service`,Water service inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#E0F2FE,🔧,#E0F2FE,🔧,#E0F2FE,🔧,888
61,108,I2,Structural & MEP,B11.B,MEP Rough-in,c,Water Distribution,insp.stage,Water Distribution,P12,matches `water distribution`,Water distribution inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#E0F2FE,🔧,#E0F2FE,🔧,#E0F2FE,🔧,911
62,109,I2,Structural & MEP,B11.B,MEP Rough-in,d,Drain/Waste/Vents,insp.stage,Drain/Waste/Vents,P12,matches `drain`,Drainage and venting inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#E0F2FE,🔧,#E0F2FE,🔧,#E0F2FE,🔧,910
63,110,I2,Structural & MEP,B11.B,MEP Rough-in,e,Sewers/Drains/Sewage,insp.stage,Sewers/Drains/Sewage System,P12,matches `drain` first (same P12 output as `sewers`),Sewer/drainage system inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,✓,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#E0F2FE,🔧,#E0F2FE,🔧,#E0F2FE,🔧,890
64,111,I2,Structural & MEP,B11.B,MEP Rough-in,f,Fire Service,insp.stage,Fire Service,P12,matches `fire service`,Fire service piping inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#E0F2FE,🔧,#E0F2FE,🔧,#E0F2FE,🔧,889
65,112,I2,Structural & MEP,B11.B,MEP Rough-in,g,Fire Access Routes,insp.stage,Fire Access Routes,P12,matches `fire access`,Fire access route inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#E0F2FE,🔧,#E0F2FE,🔧,#E0F2FE,🔧,"2,277"
66,113,I2,Structural & MEP,B11.B,MEP Rough-in,h,Fire Protection Systems,insp.stage,Fire Protection Systems,P12,matches `fire protection`,Fire protection system inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#E0F2FE,🔧,#E0F2FE,🔧,#E0F2FE,🔧,"5,969"
67,114,I3,Enclosure & Finishes,B12.A,Insulation,a,Insulation/Vapour Barrier,insp.stage,Insulation/Vapour Barrier,P13,matches `insulation`,Insulation and vapour barrier inspection — house is sealed,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#D1FAE5,🎨,#D1FAE5,🎨,#D1FAE5,🎨,"8,775"
68,115,I3,Enclosure & Finishes,B12.A,Insulation,b,Insulation,insp.stage,Insulation,P13,matches `insulation`,Insulation inspection (low-count variant),↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#D1FAE5,🎨,#D1FAE5,🎨,#D1FAE5,🎨,1
69,116,I3,Enclosure & Finishes,B12.A,Insulation,c,Insulation & AirBarrier,insp.stage,Insulation & Vapour/AirBarrier Passed on,P13,matches `insulation`,Insulation/air barrier inspection (data-quality variant),↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#D1FAE5,🎨,#D1FAE5,🎨,#D1FAE5,🎨,1
70,117,I3,Enclosure & Finishes,B12.B,Fire Sep,a,Fire Separations,insp.stage,Fire Separations,P14,matches `fire separations`,Fire separations inspection — drywall anchor,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#D1FAE5,🎨,#D1FAE5,🎨,#D1FAE5,🎨,"7,035"
