seq,#,Group,Group Label,Block,Block Label,Stage,Stage Label,Source,Status,Rows,Phase,Note,Description,Loop →,Bid: excavation,Work: excavation,Fallback: excavation,Bid: Last Minute: excavation,Bid: shoring,Work: shoring,Fallback: shoring,Bid: Last Minute: shoring,Bid: demolition,Work: demolition,Fallback: demolition,Bid: Last Minute: demolition,Bid: temporary-fencing,Work: temporary-fencing,Fallback: temporary-fencing,Bid: Last Minute: temporary-fencing,Bid: concrete,Work: concrete,Fallback: concrete,Bid: Last Minute: concrete,Bid: waterproofing,Work: waterproofing,Fallback: waterproofing,Bid: Last Minute: waterproofing,Bid: framing,Work: framing,Fallback: framing,Bid: Last Minute: framing,Bid: structural-steel,Work: structural-steel,Fallback: structural-steel,Bid: Last Minute: structural-steel,Bid: masonry,Work: masonry,Fallback: masonry,Bid: Last Minute: masonry,Bid: elevator,Work: elevator,Fallback: elevator,Bid: Last Minute: elevator,Bid: plumbing,Work: plumbing,Fallback: plumbing,Bid: Last Minute: plumbing,Bid: hvac,Work: hvac,Fallback: hvac,Bid: Last Minute: hvac,Bid: electrical,Work: electrical,Fallback: electrical,Bid: Last Minute: electrical,Bid: drain-plumbing,Work: drain-plumbing,Fallback: drain-plumbing,Bid: Last Minute: drain-plumbing,Bid: fire-protection,Work: fire-protection,Fallback: fire-protection,Bid: Last Minute: fire-protection,Bid: roofing,Work: roofing,Fallback: roofing,Bid: Last Minute: roofing,Bid: insulation,Work: insulation,Fallback: insulation,Bid: Last Minute: insulation,Bid: glazing,Work: glazing,Fallback: glazing,Bid: Last Minute: glazing,Bid: windows,Work: windows,Fallback: windows,Bid: Last Minute: windows,Bid: drywall,Work: drywall,Fallback: drywall,Bid: Last Minute: drywall,Bid: painting,Work: painting,Fallback: painting,Bid: Last Minute: painting,Bid: flooring,Work: flooring,Fallback: flooring,Bid: Last Minute: flooring,Bid: tiling,Work: tiling,Fallback: tiling,Bid: Last Minute: tiling,Bid: trim-work,Work: trim-work,Fallback: trim-work,Bid: Last Minute: trim-work,Bid: millwork-cabinetry,Work: millwork-cabinetry,Fallback: millwork-cabinetry,Bid: Last Minute: millwork-cabinetry,Bid: stone-countertops,Work: stone-countertops,Fallback: stone-countertops,Bid: Last Minute: stone-countertops,Bid: security,Work: security,Fallback: security,Bid: Last Minute: security,Bid: eavestrough-siding,Work: eavestrough-siding,Fallback: eavestrough-siding,Bid: Last Minute: eavestrough-siding,Bid: caulking,Work: caulking,Fallback: caulking,Bid: Last Minute: caulking,Bid: solar,Work: solar,Fallback: solar,Bid: Last Minute: solar,Bid: landscaping,Work: landscaping,Fallback: landscaping,Bid: Last Minute: landscaping,Bid: paving,Work: paving,Fallback: paving,Bid: Last Minute: paving,Bid: decking-fences,Work: decking-fences,Fallback: decking-fences,Bid: Last Minute: decking-fences,Bid: decks,Work: decks,Fallback: decks,Bid: Last Minute: decks,Bid: back-yard-fences,Work: back-yard-fences,Fallback: back-yard-fences,Bid: Last Minute: back-yard-fences,Bid: outdoor-patio,Work: outdoor-patio,Fallback: outdoor-patio,Bid: Last Minute: outdoor-patio,Bid: pool-installation,Work: pool-installation,Fallback: pool-installation,Bid: Last Minute: pool-installation,Bid: realtor,Work: realtor,Fallback: realtor,Bid: Last Minute: realtor,Group Color,Group Icon,Block Color,Block Icon,Stage Color,Stage Icon
33,11,BP2,Plan Review,B2.C,Review Complete,b,Consultation Completed,permits.status,Consultation Completed,2,P4,`REVIEW_P4_SET`,Pre-application consultation closed (Tier 1c stream),—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#E0E7FF,🔍,#E0E7FF,🔍,#E0E7FF,🔍
34,12,BP3,Notice & Response,B3.A,Notice Issued,a,Examiner's Notice Sent,permits.status,Examiner's Notice Sent,"2,757",P4,`REVIEW_P4_SET`,"City def: ""Application accepted, Review resulted in a Notice that has been sent""",↩ via #17 → #8 (re-queue),✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF3C7,⚠️
35,13,BP3,Notice & Response,B3.A,Notice Issued,b,Notice Sent,permits.status,Notice Sent,1,UNMAPPED→null,Not in any code set; falls through,Operationally synonymous with #12 (Examiner's Notice Sent) but counted by `unclassified_count` CQA gate,↩ via #17 → #8 (re-queue),✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF3C7,⚠️
36,14,BP3,Notice & Response,B3.B,Deficiency Confirmed,a,Deficiency Notice,permits.status,Deficiency Notice Issued,117,P5,`HOLD_P5_SET`,Formal deficiency notice — escalation when Examiner's Notice unaddressed,↩ via #17 → #8 (re-queue),✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF3C7,⚠️
37,15,BP3,Notice & Response,B3.C,Application Paused,a,On Hold,permits.status,Application On Hold,"1,655",P5,`HOLD_P5_SET`,"City def: ""Application received but on hold because of missing information""",↩ #17 (when applicant responds) or → #51 Cancelled (if abandoned),✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF9C3,⏸️
38,16,BP3,Notice & Response,B3.C,Application Paused,b,On Hold (variant),permits.status,Application on Hold,4,P5,`HOLD_P5_SET`,Case variant of #15 (both members of set),↩ #17 (when applicant responds) or → #51 Cancelled,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF9C3,⏸️
39,17,BP3,Notice & Response,B3.D,Response Received,a,Response Received,permits.status,Response Received,436,P5,`HOLD_P5_SET`,"City def: ""Response to a Notice submitted to Toronto Building""",↩ #8 Under Review (re-queue),✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF3C7,⚠️
40,18,BP3,Notice & Response,B3.E,Cross-Folder Block,a,Parent Folder Pending,permits.status,Pending Parent Folder Review,33,P5,`HOLD_P5_SET`,Sub-permit (HVA/PLB/etc.) blocked waiting on parent BLD/CMB,↩ #8 (when parent advances),✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FEF3C7,⚠️,#FEF3C7,⚠️,#FEF3C7,⚠️
41,19,BP4,Pre-Issuance,B4.A,Permit Approved,a,Approved,permits.status,Approved,23,P6,"`READY_P6_SET` (distinct from CoA ""Approved"")",Internal technical-approval marker — transitional before Ready for Issuance,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑
42,20,BP4,Pre-Issuance,B4.B,Ready for Issuance,a,Ready for Issuance,permits.status,Ready for Issuance,233,P6,`READY_P6_SET`,"City def: ""Review completed, Permit ready for issuance at any time"" (87% pre-/13% post-issuance)",—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑
43,21,BP4,Pre-Issuance,B4.C,Outstanding Conditions,a,Forwarded for Issuance,permits.status,Forwarded for Issuance,3,P6,`READY_P6_SET`,Queued to issuance desk for fee collection / final paperwork,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑
44,22,BP4,Pre-Issuance,B4.C,Outstanding Conditions,b,Issuance Pending,permits.status,Issuance Pending,"2,974",P6,`READY_P6_SET`,"City def: ""Review completed, however other approvals/fees outstanding"" — dominant pre-issuance state",—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑
45,23,BP4,Pre-Issuance,B4.C,Outstanding Conditions,c,Agreement in Progress,permits.status,Agreement in Progress,10,P6,`READY_P6_SET`,Section 37 / Site Plan / Development Agreement being executed,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑
46,24,BP4,Pre-Issuance,B4.D,Cross-Domain Issuance,a,Licence Issued,permits.status,Licence Issued,4,P6,`READY_P6_SET` (cross-feed noise),Sign/hoarding license sharing IBMS feed — not a building-permit phase,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#CCFBF1,📑,#CCFBF1,📑,#CCFBF1,📑
47,25,BP5,Construction,B5.A,Newly Issued,a,Permit Issued,permits.status,Permit Issued,"52,403",P7a/P7b/P7c (or P9-P17),Time-bucketed,"City def: ""The Permit has been issued""; time-bucketed by `NOW() - issued_date`",→ #31 Inspection (when inspections begin),✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️
48,26,BP5,Construction,B5.B,No Construction Yet,a,Work Not Started,permits.status,Work Not Started,"1,093",P7d,`NOT_STARTED_P7D_SET` (100% post-issuance),"City def: ""An Inspection was conducted and construction has not taken place"" — distinct from #6",—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️
49,27,BP5,Construction,B5.B,No Construction Yet,b,Extension Granted,permits.status,Extension Granted,3,P7d,`NOT_STARTED_P7D_SET` (100% post-issuance),Permit expiry extended; clock reset,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️
50,28,BP6,Revision,B6.A,Revision,a,Revision Issued,permits.status,Revision Issued,"20,698",P8,"`REVISION_P8_SET` — §3 calls P8 ""Mobilization"" (drift)","City def: ""Notice of Change submitted to CBO and revision has been accepted""",↩ #8 (revision review),✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#F3E8FF,🔄,#F3E8FF,🔄,#F3E8FF,🔄
51,29,BP6,Revision,B6.A,Revision,b,Revised,permits.status,Revised,27,P8,`REVISION_P8_SET`,"City def: ""Notice of Change has been submitted to the Chief Building Official""",↩ #8 (revision review),✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#F3E8FF,🔄,#F3E8FF,🔄,#F3E8FF,🔄
52,30,BP6,Revision,B6.A,Revision,c,Order Complied,permits.status,Order Complied,22,P8,`REVISION_P8_SET`,Compliance order satisfied,→ #31 Inspection,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#F3E8FF,🔄,#F3E8FF,🔄,#F3E8FF,🔄
53,31,BP5,Construction,B5.D,Active Inspection (status),a,Inspection,permits.status,Inspection,"138,546",P9-P17 (via stages 100-134) or P18,"City def: ""Permit issued and under active inspection""",Phase mapped by latest passed inspection stage,→ stages #100-134,,,✓,✓,,,✓,,,,✓,,,,✓,✓,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,✓,,✓,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️
54,32,BP5,Construction,B5.D,Active Inspection (status),b,Forward to Inspector,permits.status,Forward to Inspector,1,P18,"`INSPECTION_PIPELINE_P18_SET` — §3 calls P18 ""Project Closed"" (drift)",File handed off to inspector; awaiting visit,→ #31 Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️
55,33,BP5,Construction,B5.D,Active Inspection (status),c,Rescheduled,permits.status,Rescheduled,1,P18,`INSPECTION_PIPELINE_P18_SET`,Scheduled inspection rescheduled,→ #31 Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FFEDD5,🏗️,#FFEDD5,🏗️,#FFEDD5,🏗️
56,34,BP7,Closure,B7.A,Wind-Down Cancellation,a,Pending Closed,permits.status,Pending Closed,"6,699",P19,"`WINDDOWN_P19_SET` — §3 calls P19 ""Cancelled"" (drift)",File flagged for closure; final paperwork pending,→ #39 Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEF3C7,📅,#FEF3C7,📅
57,35,BP7,Closure,B7.A,Wind-Down Cancellation,b,Pending Cancellation,permits.status,Pending Cancellation,488,P19,`WINDDOWN_P19_SET`,"City def: ""Application dormant >5 months; owner/applicant notified of cancellation""",→ #51 Cancelled (if proceeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEF3C7,📅,#FEF3C7,📅
58,38,BP7,Closure,B7.A,Wind-Down Cancellation,c,Inspection Request to Cancel,permits.status,Inspection Request to Cancel,1,P19,`WINDDOWN_P19_SET`,Pending cancellation of a scheduled inspection request,→ #39 Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEF3C7,📅,#FEF3C7,📅
59,36,BP7,Closure,B7.B,Wind-Down Revocation,a,Revocation Pending,permits.status,Revocation Pending,"2,335",P19,`WINDDOWN_P19_SET`,City has begun revocation proceedings,→ #49 Permit Revoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,🚫,#FECACA,🚫
60,37,BP7,Closure,B7.B,Wind-Down Revocation,b,Revocation Notice Sent,permits.status,Revocation Notice Sent,1,P19,`WINDDOWN_P19_SET`,Formal revocation notice issued to applicant,→ #49 Permit Revoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,🚫,#FECACA,🚫
61,39,BP7,Closure,B7.C,Closed,a,Closed,permits.status,Closed,"10,695",P20,"`TERMINAL_P20_SET` — §3 calls P20 ""Revoked"" (drift)",File administratively closed (default terminal state),(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,#E2E8F0,🏁,#E2E8F0,🏁,#E2E8F0,🏁
62,40,BP7,Closure,B7.C,Closed,b,File Closed,permits.status,File Closed,6,P20,`TERMINAL_P20_SET`,Variant of Closed,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#E2E8F0,🏁,#E2E8F0,🏁
63,41,BP7,Closure,B7.C,Closed,c,Permit Issued/Close File,permits.status,Permit Issued/Close File,2,P20,`TERMINAL_P20_SET`,Issued and immediately closed — trivial jobs,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#E2E8F0,🏁,#E2E8F0,🏁
64,42,BP7,Closure,B7.D,Dead — Refusal,a,Refusal Notice,permits.status,Refusal Notice,958,null (DEAD),`DEAD_STATUS_SET`,"City def: ""Application Accepted; Review resulted in Refused Notice sent to applicant""",(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,❌,#FECACA,❌
65,52,BP7,Closure,B7.D,Dead — Refusal,b,Refused,permits.status,Refused,1,null (DEAD),`DEAD_STATUS_SET`,Variant of #42,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,❌,#FECACA,❌
66,43,BP7,Closure,B7.E,Dead — Withdrawal,a,Abandoned,permits.status,Abandoned,122,null (DEAD),`DEAD_STATUS_SET`,File abandoned by applicant,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEE2E2,🗑️,#FEE2E2,🗑️
67,44,BP7,Closure,B7.E,Dead — Withdrawal,b,Application Withdrawn,permits.status,Application Withdrawn,49,null (DEAD),`DEAD_STATUS_SET`,Applicant explicitly withdrew,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEE2E2,🗑️,#FEE2E2,🗑️
68,47,BP7,Closure,B7.E,Dead — Withdrawal,c,Not Accepted,permits.status,Not Accepted,9,null (DEAD),`DEAD_STATUS_SET`,Application not accepted at intake,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEE2E2,🗑️,#FEE2E2,🗑️
